TIME,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),10010000.00,8320000.00,8570000.00,8720000.00,9130000.00,9370000.00
European Union - 28 countries (2013-2020),16390000.00,13890000.00,13940000.00,14710000.00,16130000.00,NaN
Belgium,634475.00,381905.00,459582.00,401032.00,472608.00,424518.00
Bulgaria,935470.00,690372.00,633668.00,109882.00,201624.00,202511.00
Czechia,130159.00,82098.00,81543.00,55074.00,340927.00,343168.00
Denmark,628500.00,478813.00,410824.00,510895.00,421108.00,408020.00
Germany,484483.00,543847.00,596272.00,571007.00,576630.00,533997.00
Estonia,30097.00,19281.00,25433.00,14485.00,25935.00,16781.00
Ireland,268375.00,99108.00,69173.00,127419.00,101642.00,185688.00
Greece,123452.00,92330.00,74144.00,132814.00,172966.00,61533.00
Spain,677906.00,744758.00,644037.00,885278.00,580590.00,628188.00
France,2239274.00,2154500.00,2590434.00,2438019.00,2647542.00,2905074.00
Croatia,21204.00,23528.00,37766.00,57256.00,83458.00,89894.00
Italy,672749.00,511422.00,533095.00,647454.00,637111.00,717023.00
Cyprus,2859.00,2172.00,1272.00,2679.00,2659.00,2396.00
Latvia,26839.00,68553.00,47779.00,39185.00,34594.00,65393.00
Lithuania,94926.00,94046.00,92558.00,101729.00,159226.00,163815.00
Luxembourg,5819.00,5912.00,5515.00,8661.00,9691.00,6670.00
Hungary,268152.00,296682.00,201552.00,23949.00,58126.00,180430.00
Malta,23604.00,22452.00,15083.00,2370.00,1460.00,2070.00
Netherlands,816870.00,585749.00,624061.00,714355.00,588461.00,607839.00
Austria,0.00,0.00,0.00,0.00,0.00,0.00
Poland,94538.00,77490.00,117422.00,160863.00,159779.00,191226.00
Portugal,190900.00,305395.00,156575.00,159846.00,292496.00,211350.00
Romania,119209.00,138744.00,91168.00,121641.00,183203.00,130212.00
Slovenia,17162.00,45896.00,31130.00,38536.00,58977.00,72632.00
Slovakia,41054.00,31301.00,37321.00,125155.00,386535.00,402361.00
Finland,443403.00,276496.00,175659.00,305280.00,275998.00,134473.00
Sweden,1017158.00,547893.00,817578.00,967446.00,659272.00,679158.00
Iceland,35435.00,36479.00,21007.00,32541.00,25966.00,7217.00
Liechtenstein,0.00,429.00,182.00,165.00,79.00,78.00
Norway,385111.00,792762.00,698739.00,461887.00,726161.00,496637.00
United Kingdom,6380729.00,5567997.00,5365171.00,5986156.00,6957327.00,NaN
Bosnia and Herzegovina,NaN,3224.00,8829.00,11181.00,7161.00,9686.00
Montenegro,NaN,2400.00,2146.00,4127.00,4659.00,6104.00
North Macedonia,5440.00,3419.00,198.00,328154.00,52558.00,240857.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,5157.00,11801.00,11340.00,18979.00,14153.00,59113.00
Türkiye,136654.00,298007.00,287891.00,348591.00,692298.00,727141.00
Kosovo*,NaN,4099.00,118.00,47.00,13812.00,5403.00